epoch,loss,lr,val_loss
0,0.0006100097671151161,1e-04,0.0005457897204905748
1,0.0004803795018233359,1e-04,0.00045013861381448805
2,0.00042512602522037923,1e-04,0.000425364647526294
3,0.0004148826119489968,1e-04,0.0004161283723078668
4,0.0003926097124349326,1e-04,0.0003860726428683847
5,0.0003817217075265944,1e-04,0.00039398795343004167
6,0.00036890781484544277,1e-04,0.00036635383730754256
7,0.00036519597051665187,1e-04,0.00038096102070994675
8,0.00035653982195071876,1e-04,0.0003752324846573174
9,0.00035354390274733305,1e-04,0.000369443092495203
10,0.0003511425748001784,1e-04,0.0003537951852194965
11,0.0003468363720458001,1e-04,0.00036258972249925137
12,0.0003420674183871597,1e-04,0.00036690657725557685
13,0.00034088894608430564,1e-04,0.0003644802200142294
14,0.0003387019387446344,1e-04,0.0003484018670860678
15,0.00033623873605392873,1e-04,0.00036094701499678195
16,0.00033558483119122684,1e-04,0.00035536359064280987
17,0.00033353696926496923,1e-04,0.0003480538434814662
18,0.00033141576568596065,1e-04,0.00035501731326803565
19,0.0003282205725554377,1e-04,0.00035324078635312617
20,0.0003232666349504143,5e-05,0.0003481361491139978
21,0.00032064612605609,5e-05,0.0003488051297608763
22,0.0003197876503691077,5e-05,0.0003467241767793894
23,0.0003198438498657197,5e-05,0.0003441929002292454
24,0.00031790288630872965,5e-05,0.0003440217988099903
25,0.00031642091926187277,5e-05,0.00033798368531279266
26,0.00031658983789384365,5e-05,0.0003510593087412417
27,0.0003156202146783471,5e-05,0.00035352379200048745
28,0.0003134344588033855,5e-05,0.0003474525292403996
29,0.0003162723733112216,5e-05,0.0003500636084936559
30,0.0003110574616584927,5e-05,0.00035084018600173295
31,0.00030909766792319715,2.5e-05,0.0003434235986787826
32,0.0003048627113457769,2.5e-05,0.0003416355757508427
33,0.0003066964854951948,2.5e-05,0.0003446695627644658
34,0.00030554819386452436,2.5e-05,0.00033851410262286663
35,0.00030817239894531667,2.5e-05,0.0003432483063079417
36,0.0003056368150282651,2.5e-05,0.00034152751322835684
37,0.00030179371242411435,2.5e-05,0.0003436738043092191
38,0.00030215244623832405,1.25e-05,0.0003416026593185961
39,0.0003015446709468961,1.25e-05,0.00033910563797689974
40,0.0002996741677634418,1.25e-05,0.0003458504506852478
41,0.00030234979931265116,1.25e-05,0.00033871515188366175
42,0.0002979641722049564,1.25e-05,0.0003391593345440924
43,0.0002998305717483163,1.25e-05,0.00034367182524874806
44,0.00029991756309755147,1.25e-05,0.0003431921941228211
45,0.00029875009204261005,6.25e-06,0.0003353340725880116
46,0.0002975701936520636,6.25e-06,0.0003415016399230808
47,0.00029510704916901886,6.25e-06,0.0003386707103345543
48,0.0002967734762933105,6.25e-06,0.00034217111533507705
49,0.00029787144740112126,6.25e-06,0.00034199937363155186
50,0.000297265563858673,6.25e-06,0.0003375005326233804
51,0.00029430887661874294,6.25e-06,0.0003391230129636824
52,0.00029631497454829514,3.125e-06,0.00034072709968313575
53,0.0002965932071674615,3.125e-06,0.0003406064643058926
54,0.00029321928741410375,3.125e-06,0.00034364283783361316
55,0.00029535015346482396,3.125e-06,0.000336836208589375
56,0.0002961884019896388,3.125e-06,0.0003411252109799534
57,0.0002947076573036611,3.125e-06,0.0003433687670622021
58,0.0002942267165053636,3.125e-06,0.0003382246650289744
59,0.000294866127660498,1.5625e-06,0.0003404149319976568
60,0.0002963109582196921,1.5625e-06,0.00034151962609030306
61,0.0002947878383565694,1.5625e-06,0.0003434120153542608
62,0.00029331762925721705,1.5625e-06,0.0003376734093762934
63,0.0002925960288848728,1.5625e-06,0.00033892967621795833
64,0.0002952915383502841,1.5625e-06,0.0003393870429135859
65,0.0002932748757302761,1.5625e-06,0.0003363324503879994
