epoch,abdomen,head,loss,lr,thorax,val_abdomen,val_head,val_loss,val_thorax,val_wingL,val_wingR,wingL,wingR
0,0.0004422290367074311,0.0005206210189498961,0.0004619820974767208,1e-04,0.0005240487516857684,0.0005172018427401781,0.000507008284330368,0.0004798523150384426,0.0005254547577351332,0.00043289741734042764,0.00041669950587674975,0.0004157551738899201,0.00040725673898123205
1,0.00043587287655100226,0.0005081910640001297,0.00045392729225568473,1e-04,0.0005186818307265639,0.000493216619361192,0.0004824689240194857,0.00046401863801293075,0.0005194611148908734,0.00042608799412846565,0.00039885827573016286,0.0004077523772139102,0.00039913770160637796
2,0.00043646187987178564,0.0005041103577241302,0.00045180274173617363,1e-04,0.0005143876187503338,0.0004947865381836891,0.00048286101082339883,0.00046762527199462056,0.000512937898747623,0.0004363460175227374,0.0004111948946956545,0.0004058346676174551,0.00039821903919801116
3,0.00043532642303034663,0.0004892583820037544,0.0004479408380575478,1e-04,0.0005053319619037211,0.0004970545996911824,0.0004856674640905112,0.0004674690426327288,0.0005230561946518719,0.0004273843369446695,0.0004041826177854091,0.0004100340302102268,0.00039975252002477646
4,0.00043107851524837315,0.00047083626850508153,0.00043961498886346817,1e-04,0.0004972370807081461,0.0004878758336417377,0.0004252801591064781,0.00044759229058399796,0.0004910000716336071,0.00043301950790919363,0.00040078599704429507,0.00040289745084010065,0.0003960260655730963
5,0.00042762584052979946,0.00046118046157062054,0.00043607698171399534,1e-04,0.00048596091801300645,0.00048488005995750427,0.00040615469333715737,0.0004387821536511183,0.0004892331198789179,0.0004162693221587688,0.0003973733983002603,0.00040564118535257876,0.0003999765613116324
6,0.0004241046553943306,0.00044358920422382653,0.0004295211983844638,1e-04,0.0004784746270161122,0.000477488647447899,0.0003765770234167576,0.00043656345224007964,0.0004829312674701214,0.00043092502164654434,0.0004148949810769409,0.0004039201303385198,0.0003975172294303775
7,0.0004206823359709233,0.0004362834442872554,0.000426226994022727,1e-04,0.00047042107325978577,0.0004757407878059894,0.0003853369562420994,0.00043180290958844125,0.000473291176604107,0.0004299496940802783,0.0003946959332097322,0.0004096442717127502,0.00039410428144037724
8,0.0004169723251834512,0.0004247728793416172,0.00042139814468100667,1e-04,0.0004671740171033889,0.0004773836408276111,0.00038724212208762765,0.0004269359342288226,0.00046440368168987334,0.00041238206904381514,0.0003932681283913553,0.00040553483995608985,0.0003925361670553684
9,0.0004139030643273145,0.00042349559953436255,0.0004198542155791074,1e-04,0.0004645835142582655,0.00047667985199950635,0.00040098821045830846,0.0004336920683272183,0.00046435525291599333,0.00042560906149446964,0.0004008279356639832,0.0004010048578493297,0.00039628444937989116
10,0.00040891149546951056,0.0004129054432269186,0.0004157783114351332,1e-04,0.0004606832517310977,0.00048281377530656755,0.00035995309008285403,0.000430547894211486,0.0004734816320706159,0.0004268914053682238,0.00040959951002150774,0.000402850448153913,0.00039354118052870035
